,created_at,favorite_count,location,retweet_count,text
0,Sun Mar 18 23:25:57 +0000 2018,0,No Location,0,Demand for AI skills triple in the UK  https://t.co/TsnnmiYZ6b #AI #TopInfluence
1,Sun Mar 18 23:25:45 +0000 2018,0,No Location,1206,"RT @SteveWongLA: What if ARTIFICIAL INTELLIGENCE #AI could understand the nuances of language, develop common-sense reasoning, and learn ne…"
2,Sun Mar 18 23:25:39 +0000 2018,0,No Location,0,"#AI genius will take your career interview with proposal properly via @CNBC 
#tech #digital #data #business… https://t.co/XRkQq5bL2W"
3,Sun Mar 18 23:25:33 +0000 2018,0,No Location,167,RT @MikeQuindazzi: Next in #retail? Testing multi-person activity recognition in unseen environments while eating snacks. #AI #MachineLearn…
4,Sun Mar 18 23:25:25 +0000 2018,0,No Location,1206,"RT @SteveWongLA: What if ARTIFICIAL INTELLIGENCE #AI could understand the nuances of language, develop common-sense reasoning, and learn ne…"
5,Sun Mar 18 23:25:20 +0000 2018,0,No Location,6,"RT @Ronald_vanLoon: The Future of #ArtificialIntelligence in #DigitalMarketing 
by @imariajohnsen @Smashwords | 

Read more here: https://t…"
6,Sun Mar 18 23:25:05 +0000 2018,0,No Location,18,"RT @tfkohler: Gartner Top 10 Strategic Technology Trends 2018

 https://t.co/hEma3WoLCF @Gartner_inc

Incl.?
#AI #BigData #Analytics #Futur…"
7,Sun Mar 18 23:25:05 +0000 2018,0,No Location,0,Powered by #AI - Exclusive LIVE #Stocks #Trading Boards &gt; JUST Part of the #Trading Tools in our Pro Membership &gt;&gt;… https://t.co/BeexCq9fsO
8,Sun Mar 18 23:25:04 +0000 2018,0,No Location,2,RT @XBrick_Exchange: We are launching our own platform utility token - XBC. See our LinkedIn page for the latest update https://t.co/MYWrfU…
9,Sun Mar 18 23:25:03 +0000 2018,0,No Location,1,"RT @rtehrani: Great #SXSW wrapup from @ErinCarson https://t.co/aAnBiTcDf7

@CNET  @elonmusk  @elonmusk  #swsw18 #sxsw2018 #5G #SmartCity #I…"
10,Sun Mar 18 23:25:01 +0000 2018,0,No Location,9,"RT @programmingurus: RT java: How to use the new var declaration type in #Java10 

#Java #JDK10

https://t.co/SPO6J1lO61 https://t.co/STtlW…"
11,Sun Mar 18 23:25:00 +0000 2018,0,No Location,0,"5 min #RSI Signals:

$BTC - $BRX: 1.82
$BTC - $SEQ: 9.13
$BTC - $SNRG: 10.0
$BTC - $HMQ: 17.21
$BTC - $TRUST: 28.17… https://t.co/dVoIh8YUEW"
12,Sun Mar 18 23:24:59 +0000 2018,0,No Location,1675,"RT @skychainglobal: #SkyChain - the next #leader in the #healthcare #AI market https://t.co/bpPExv4zGa via @YouTube
#skychainglobal #ico #s…"
13,Sun Mar 18 23:24:58 +0000 2018,0,No Location,1,"RT @DanielMiessler: AI reality vs. AI truth.

https://t.co/U28vH8RvNL #ML #AI"
14,Sun Mar 18 23:24:56 +0000 2018,0,No Location,1206,"RT @SteveWongLA: What if ARTIFICIAL INTELLIGENCE #AI could understand the nuances of language, develop common-sense reasoning, and learn ne…"
15,Sun Mar 18 23:24:54 +0000 2018,0,No Location,1,"RT @ParisMahavira: RT DeepLearn007 ""RT DeepLearn007: What’s real in Artificial Intelligence and Machine Learning
#AI #MachineLearning #Deep…"
16,Sun Mar 18 23:24:52 +0000 2018,0,No Location,94,RT @VladoBotsvadze: The McKinsey Digital Industry 4.0 Compass - The 8 Main Value Drivers #digital #Industry40 #IoT #IIoT #IndustrialIoT #fi…
17,Sun Mar 18 23:24:48 +0000 2018,0,No Location,1206,"RT @SteveWongLA: What if ARTIFICIAL INTELLIGENCE #AI could understand the nuances of language, develop common-sense reasoning, and learn ne…"
18,Sun Mar 18 23:24:46 +0000 2018,0,No Location,0,She wants to show me the cross breed I don't know in her &amp; who she really is. #opendata #smartcities #bigdata #ai https://t.co/WaJUd5O8IU
19,Sun Mar 18 23:24:36 +0000 2018,0,No Location,1675,"RT @skychainglobal: #SkyChain - the next #leader in the #healthcare #AI market https://t.co/bpPExv4zGa via @YouTube
#skychainglobal #ico #s…"
20,Sun Mar 18 23:24:35 +0000 2018,0,No Location,19,"RT @ProfRayWills: .@Daimler to electrify entire portfolio of @MercedesBenz by 2022
The CASE for change
Not just electrics: also about #conn…"
21,Sun Mar 18 23:24:31 +0000 2018,0,No Location,107,RT @kubernan: Cloud Governance | CloudExpo #AI #CIO #Security #DevOps #Compliance https://t.co/fGh7PZajiE #Cloud
22,Sun Mar 18 23:24:30 +0000 2018,0,No Location,199,"RT @XMEDChain: Dear All, XMC ICO rating on CryptoPotato
???????ICO?CryptoPotato????

https://t.co/vynyhoml4t

#XMEDChain #medical #AI #BigD…"
23,Sun Mar 18 23:24:28 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
24,Sun Mar 18 23:24:27 +0000 2018,0,No Location,0,Cracking Open the Black Box of #AI with Cell #Biology https://t.co/T7xrV584ow… #neuralnetwork #deeplearning https://t.co/hVBZdDsJWH
25,Sun Mar 18 23:24:26 +0000 2018,0,No Location,200,"RT @Fisher85M: It was an honor and pleasure to join industry leaders at #DellExperience #SXSW 2018!

Check out my interview with @DellTech!…"
26,Sun Mar 18 23:24:19 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
27,Sun Mar 18 23:24:17 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
28,Sun Mar 18 23:24:14 +0000 2018,0,No Location,17,"RT @ipfconline1: #Regtech 101:
What It Is
Why Now
&amp; Why It Matters
  v/ @cbinsights
#Fintech #CyberSecurity #Startups #AI #NLP #MachineLear…"
