,created_at,favorite_count,location,retweet_count,text
0,Sun Mar 18 23:25:57 +0000 2018,0,No Location,4,"RT @apprealvr: Virtual Reality Changes the Game for Online Casinos. 
https://t.co/GBHUQXmIjC

#AugmentedReality #AR #VR #VirtualReality #Te…"
1,Sun Mar 18 23:25:46 +0000 2018,0,No Location,128,RT @VARcrypt: The latest The Virtual and Augmented Reality Daily! https://t.co/AC04GBSBjF Thanks to @VitalikButerin @PKTSizedHands #vr #ar
2,Sun Mar 18 23:25:11 +0000 2018,0,No Location,4,"RT @apprealvr: Virtual Reality Changes the Game for Online Casinos. 
https://t.co/GBHUQXmIjC

#AugmentedReality #AR #VR #VirtualReality #Te…"
3,Sun Mar 18 23:25:05 +0000 2018,0,No Location,18,"RT @tfkohler: Gartner Top 10 Strategic Technology Trends 2018

 https://t.co/hEma3WoLCF @Gartner_inc

Incl.?
#AI #BigData #Analytics #Futur…"
4,Sun Mar 18 23:24:59 +0000 2018,0,No Location,46,RT @CrowdConscious: Exciting news! @decentraland $LAND marketplace launches next week! Learn about #VRSDistrict &amp; vision within Decentralan…
5,Sun Mar 18 23:24:37 +0000 2018,0,No Location,153,RT @antgrasso: What is the Digital Future to Youth? The most exciting #technologies expected to have the largest impact on their future wil…
6,Sun Mar 18 23:24:17 +0000 2018,0,No Location,4,"RT @apprealvr: Virtual Reality Changes the Game for Online Casinos. 
https://t.co/GBHUQXmIjC

#AugmentedReality #AR #VR #VirtualReality #Te…"
7,Sun Mar 18 23:24:05 +0000 2018,0,No Location,0,L'Oreal buys an augmented reality beauty app maker  #AR #AugmentedReality https://t.co/DxfGb62keN
8,Sun Mar 18 23:23:13 +0000 2018,0,No Location,4,"RT @apprealvr: Virtual Reality Changes the Game for Online Casinos. 
https://t.co/GBHUQXmIjC

#AugmentedReality #AR #VR #VirtualReality #Te…"
9,Sun Mar 18 23:22:23 +0000 2018,3,No Location,4,"Virtual Reality Changes the Game for Online Casinos. 
https://t.co/GBHUQXmIjC

#AugmentedReality #AR #VR… https://t.co/4NfasVXKIP"
10,Sun Mar 18 23:21:32 +0000 2018,0,No Location,8,"RT @FastCompany: #AR for stroke recovery, and 9 other genius tech ideas @NatGeo thinks could change the world https://t.co/PgNL8401Ee https…"
11,Sun Mar 18 23:21:15 +0000 2018,0,No Location,46,RT @CrowdConscious: Exciting news! @decentraland $LAND marketplace launches next week! Learn about #VRSDistrict &amp; vision within Decentralan…
12,Sun Mar 18 23:21:03 +0000 2018,0,No Location,106,"RT @arconaico: By 2021 the concept of the smartphone as we know it will have begun to vanish, as it becomes subsumed into a new form of int…"
13,Sun Mar 18 23:20:58 +0000 2018,0,No Location,46,RT @CrowdConscious: Exciting news! @decentraland $LAND marketplace launches next week! Learn about #VRSDistrict &amp; vision within Decentralan…
14,Sun Mar 18 23:19:42 +0000 2018,0,No Location,1,RT @IPDanaB: It was so fun watching these students enjoy their reward for meeting their AR goal 3rd nine weeks! They worked together to Bre…
15,Sun Mar 18 23:19:15 +0000 2018,0,No Location,0,What is the Digital Future to Youth? The most exciting #technologies expected to have the largest impact on their f… https://t.co/RSgMlvHLHc
16,Sun Mar 18 23:19:13 +0000 2018,0,No Location,5,RT @evankirstel: Why is L'Oreal buying a technology company? https://t.co/BkpGlkpvwQ #AI #AR #thINK2018 https://t.co/HmlblyNNAD
17,Sun Mar 18 23:18:17 +0000 2018,0,No Location,19,"RT @HealthierRec: How #data is transforming #healthcare:

#BigData #HealthTech #datascience #ai #tech #MachineLearning #deeperlearning #IoT…"
18,Sun Mar 18 23:18:15 +0000 2018,0,No Location,0,#Social #Media Key Opinion Leaders #KOL #HuaweiMWC17 https://t.co/akY61gDIe5 #ar #g5 #UbiNET #Futurist #KarlSmith https://t.co/8KKrS0myzp
19,Sun Mar 18 23:18:12 +0000 2018,0,No Location,0,#Social #Media Key Opinion Leaders #KOL #HuaweiMWC17 https://t.co/L43QpXbzxa #ar #g5 #UbiNET #Futurist #KarlSmith https://t.co/Ud8uAAgybr
20,Sun Mar 18 23:18:11 +0000 2018,0,No Location,0,#Social #Media Key Opinion Leaders #KOL #HuaweiMWC17 https://t.co/asGU7qeQbe #ar #g5 #UbiNET #Futurist #KarlSmith https://t.co/O2HNlahEjy
21,Sun Mar 18 23:17:03 +0000 2018,0,No Location,3,"RT @jbmcculloch: Reminder, registration is open for the #MixedReality Developer Summit, Aug 27-31 at @Microsoft's Redmond Campus.  Register…"
22,Sun Mar 18 23:16:02 +0000 2018,0,No Location,0,L'Oreal buys an augmented reality beauty app maker  #AR #AugmentedReality https://t.co/fhPz9u5LtI
23,Sun Mar 18 23:15:17 +0000 2018,0,No Location,153,RT @antgrasso: What is the Digital Future to Youth? The most exciting #technologies expected to have the largest impact on their future wil…
24,Sun Mar 18 23:15:03 +0000 2018,0,No Location,0,How #augmentedeality and #virtualreality will reshape the food industry https://t.co/Jz94YIWlQt via @HuffPostBlog… https://t.co/JhZ2t0TgFL
25,Sun Mar 18 23:14:51 +0000 2018,0,No Location,2,RT @RickyJersey: Looking forward to seeing and hearing what Apple will be sharing with us on AR. #AugmentedReality #AR https://t.co/CgO3XQ9…
26,Sun Mar 18 23:14:33 +0000 2018,0,No Location,2,RT @RickyJersey: Looking forward to seeing and hearing what Apple will be sharing with us on AR. #AugmentedReality #AR https://t.co/CgO3XQ9…
