,created_at,favorite_count,location,retweet_count,text
0,Sun Mar 18 23:25:48 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
1,Sun Mar 18 23:25:47 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
2,Sun Mar 18 23:25:46 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
3,Sun Mar 18 23:25:45 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
4,Sun Mar 18 23:25:44 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
5,Sun Mar 18 23:25:44 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
6,Sun Mar 18 23:25:44 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
7,Sun Mar 18 23:25:43 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
8,Sun Mar 18 23:25:40 +0000 2018,0,No Location,93,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
9,Sun Mar 18 23:25:36 +0000 2018,0,No Location,93,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
10,Sun Mar 18 23:25:33 +0000 2018,0,No Location,167,RT @MikeQuindazzi: Next in #retail? Testing multi-person activity recognition in unseen environments while eating snacks. #AI #MachineLearn…
11,Sun Mar 18 23:25:31 +0000 2018,0,No Location,93,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
12,Sun Mar 18 23:25:29 +0000 2018,0,No Location,93,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
13,Sun Mar 18 23:25:28 +0000 2018,0,No Location,93,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
14,Sun Mar 18 23:25:27 +0000 2018,0,No Location,93,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
15,Sun Mar 18 23:25:24 +0000 2018,0,No Location,93,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
16,Sun Mar 18 23:25:23 +0000 2018,0,No Location,93,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
17,Sun Mar 18 23:25:21 +0000 2018,0,No Location,93,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
18,Sun Mar 18 23:25:20 +0000 2018,0,No Location,93,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
19,Sun Mar 18 23:25:20 +0000 2018,0,No Location,6,"RT @Ronald_vanLoon: The Future of #ArtificialIntelligence in #DigitalMarketing 
by @imariajohnsen @Smashwords | 

Read more here: https://t…"
20,Sun Mar 18 23:25:18 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
21,Sun Mar 18 23:25:16 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
22,Sun Mar 18 23:25:15 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
23,Sun Mar 18 23:25:13 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
24,Sun Mar 18 23:25:10 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
25,Sun Mar 18 23:25:10 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
26,Sun Mar 18 23:25:07 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
27,Sun Mar 18 23:25:06 +0000 2018,0,No Location,0,"From providing course recommendations to engagement opportunities, learn more about how the #NittanyAI Challenge to… https://t.co/Pffnc5tyPO"
28,Sun Mar 18 23:25:01 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
29,Sun Mar 18 23:24:42 +0000 2018,0,No Location,13,"RT @SiliconindiaMag: Vibrent is powering next generation of precision medicine with wearables sensors, #DataScience , machine learning, #Ar…"
30,Sun Mar 18 23:24:37 +0000 2018,0,No Location,153,RT @antgrasso: What is the Digital Future to Youth? The most exciting #technologies expected to have the largest impact on their future wil…
31,Sun Mar 18 23:24:28 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
32,Sun Mar 18 23:24:19 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
33,Sun Mar 18 23:24:17 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
34,Sun Mar 18 23:24:12 +0000 2018,0,No Location,88,"RT @Strat_AI: #ArtificialIntelligence Will Evolve Into Hybrid Intelligence - https://t.co/SxeqPywp8l

#ai #bi #datascience #datamining #fin…"
35,Sun Mar 18 23:24:10 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
