,created_at,favorite_count,location,retweet_count,text
0,Sun Mar 18 23:25:57 +0000 2018,0,No Location,4,"RT @apprealvr: Virtual Reality Changes the Game for Online Casinos. 
https://t.co/GBHUQXmIjC

#AugmentedReality #AR #VR #VirtualReality #Te…"
1,Sun Mar 18 23:25:11 +0000 2018,0,No Location,4,"RT @apprealvr: Virtual Reality Changes the Game for Online Casinos. 
https://t.co/GBHUQXmIjC

#AugmentedReality #AR #VR #VirtualReality #Te…"
2,Sun Mar 18 23:24:17 +0000 2018,0,No Location,4,"RT @apprealvr: Virtual Reality Changes the Game for Online Casinos. 
https://t.co/GBHUQXmIjC

#AugmentedReality #AR #VR #VirtualReality #Te…"
3,Sun Mar 18 23:24:05 +0000 2018,0,No Location,0,L'Oreal buys an augmented reality beauty app maker  #AR #AugmentedReality https://t.co/DxfGb62keN
4,Sun Mar 18 23:23:13 +0000 2018,0,No Location,4,"RT @apprealvr: Virtual Reality Changes the Game for Online Casinos. 
https://t.co/GBHUQXmIjC

#AugmentedReality #AR #VR #VirtualReality #Te…"
5,Sun Mar 18 23:22:23 +0000 2018,3,No Location,4,"Virtual Reality Changes the Game for Online Casinos. 
https://t.co/GBHUQXmIjC

#AugmentedReality #AR #VR… https://t.co/4NfasVXKIP"
6,Sun Mar 18 23:21:03 +0000 2018,0,No Location,106,"RT @arconaico: By 2021 the concept of the smartphone as we know it will have begun to vanish, as it becomes subsumed into a new form of int…"
7,Sun Mar 18 23:16:02 +0000 2018,0,No Location,0,L'Oreal buys an augmented reality beauty app maker  #AR #AugmentedReality https://t.co/fhPz9u5LtI
8,Sun Mar 18 23:15:44 +0000 2018,0,No Location,57,RT @ARealityEvent: Celebrating 8 Women Organizers &amp; Influencers in #AugmentedReality &amp; #VirtualReality on the #AWE2018 blog! https://t.co/y…
9,Sun Mar 18 23:15:25 +0000 2018,0,No Location,0,Seeing my drawings in #AugmentedReality really is super fun. I'm amped @zrsouthcombe! https://t.co/kjvah3BVop
10,Sun Mar 18 23:14:51 +0000 2018,0,No Location,2,RT @RickyJersey: Looking forward to seeing and hearing what Apple will be sharing with us on AR. #AugmentedReality #AR https://t.co/CgO3XQ9…
11,Sun Mar 18 23:14:33 +0000 2018,0,No Location,2,RT @RickyJersey: Looking forward to seeing and hearing what Apple will be sharing with us on AR. #AugmentedReality #AR https://t.co/CgO3XQ9…
12,Sun Mar 18 23:14:14 +0000 2018,0,No Location,10,RT @MikeSchiemer: How To Utilize VR Marketing https://t.co/rA3XsnMZ4G / #VR #AR #VirtualReality #AugmentedReality #Digital #Marketing #Digi…
13,Sun Mar 18 23:11:26 +0000 2018,1,No Location,0,Loving the look of Over the Black Dot this season. Augmented Reality / AR adds that little bit of polish to the pro… https://t.co/hYGlhcaJfQ
14,Sun Mar 18 23:11:22 +0000 2018,0,No Location,1,RT @pcarvao: The connections between the digital and physical worlds at @kroger - the largest supermarket chain in the US. Perspectives fro…
15,Sun Mar 18 23:11:06 +0000 2018,0,No Location,0,Tech firms help manufacturers embrace new advancements https://t.co/vMMmOnfxGW #AugmentedReality
16,Sun Mar 18 23:09:44 +0000 2018,0,No Location,0,AR firm Avegant cuts half its workforce and picks new CEO https://t.co/PuHL0oMojn #augmentedreality #avegant #gear
17,Sun Mar 18 23:07:01 +0000 2018,0,No Location,7,"RT @FashNerd: FashNerd | @Bose's AR Sunglasses use Sound, not a Screen to Augment Reality https://t.co/Jg5zIXkDYg #AugmentedReality #AR #We…"
