,created_at,favorite_count,location,retweet_count,text
0,Sun Mar 18 21:54:17 +0000 2018,0,No Location,0,@Google's #AutonomousVehicle Unit To Test Semis In Atlanta https://t.co/rdfEJgjboA @wirelessdesign @macfixer_1 #AutonomousCars
1,Sun Mar 18 20:26:45 +0000 2018,0,No Location,8,"RT @SpirosMargaris: How #CarSharing Can Save The World 

From The #AutonomousVehicle #Robot Apocalypse 

https://t.co/loi7kXHeI0 @JeffMcMah…"
2,Sun Mar 18 19:41:15 +0000 2018,0,No Location,2,"RT @JohnnieFellix: This is how Car Sharing can save the World from the #AutonomousVehicle #Robot Apocalypse - by @Forbes 
https://t.co/bBpM…"
3,Sun Mar 18 19:40:54 +0000 2018,0,No Location,2,"RT @JohnnieFellix: This is how Car Sharing can save the World from the #AutonomousVehicle #Robot Apocalypse - by @Forbes 
https://t.co/bBpM…"
4,Sun Mar 18 19:03:52 +0000 2018,0,No Location,2,"RT @24kMedia: This Audi Flying Car Could Hook Into Hyperloop, And It Looks Great  https://t.co/PITMOcj3xE

#AI @DeepLearn007 #MachineLearni…"
5,Sun Mar 18 19:03:01 +0000 2018,0,No Location,2,"This Audi Flying Car Could Hook Into Hyperloop, And It Looks Great  https://t.co/PITMOcj3xE

#AI @DeepLearn007… https://t.co/NQFPYL84ed"
6,Sun Mar 18 18:13:31 +0000 2018,0,No Location,13,"RT @cubeintel: #CubeIntelligence - Solving The Problem Of #AutonomousVehicle security using #Blockchain

#AI #Technology #Driverless #CubeI…"
7,Sun Mar 18 18:04:48 +0000 2018,0,No Location,2,RT @OhmioAutomotion: First New Zealand-developed #autonomousvehicle goes on trial https://t.co/DMPjHmZ9Gr
8,Sun Mar 18 16:53:32 +0000 2018,0,No Location,2,"RT @guidaautonoma: How #Car #Sharing Can Save The World From The #autonomousvehicle #robot Apocalypse

https://t.co/dZC7ThG7XG
#sharingecon…"
9,Sun Mar 18 16:09:44 +0000 2018,0,No Location,0,#ConceptCar by Aerodrive #RoboVehicle #smartcity  #SelfDrivingCar #AutonomousVehicle #INNOVATION by Anuj Agarwal… https://t.co/LmHXmEEFLj
