,created_at,favorite_count,location,retweet_count,text
0,Sun Mar 18 23:26:09 +0000 2018,0,No Location,0,"A company that is uniquely given to succeed and become the flagship of the entire crypto currency world. #FLOGmall,… https://t.co/PpyX5F45sC"
1,Sun Mar 18 23:26:09 +0000 2018,0,No Location,0,"Smart Cities and Urban Mobility 
https://t.co/XHlvATTeWV 
by @ChiaraCarella v/ @SlideShare @Frost_Sullivan… https://t.co/vWEPiafNxw"
2,Sun Mar 18 23:26:07 +0000 2018,0,No Location,1,"RT @VenturaSystems: Gartner's Top Predictions For 2018 and Beyond 

#CyberSecurity #IoT #ArtificialIntelligence #Mobile #blockchain #innova…"
3,Sun Mar 18 23:26:07 +0000 2018,0,No Location,0,The First Cryptocurrency Exchange Agreement is Done https://t.co/RwpGUPzWGM  #cryptocurrency #blockchain https://t.co/hHdiGdaDX8
4,Sun Mar 18 23:26:06 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
5,Sun Mar 18 23:26:06 +0000 2018,0,No Location,51,"RT @HikariBlue: The Race For #AI : #Google, #Intel, #Apple In A Rush To Grab #ArtificialIntelligence Startups

#MachineLearning #ML #DeepLe…"
6,Sun Mar 18 23:26:05 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
7,Sun Mar 18 23:26:05 +0000 2018,0,No Location,804,RT @Tripagoofficial: Join #referral &amp; #bounty from #Tripago..as we running a Referral campaign..to earn #TPG and #ETH for subscriber...For…
8,Sun Mar 18 23:26:04 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
9,Sun Mar 18 23:26:04 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
10,Sun Mar 18 23:26:03 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
11,Sun Mar 18 23:26:03 +0000 2018,0,No Location,6,"RT @GlenGilmore: 8 Trends of IoT in 2018 

https://t.co/Z2yQvS1HVY via @onlporter #InternetOfThings #ArtificialIntelligence #BigData #FogCo…"
12,Sun Mar 18 23:26:02 +0000 2018,0,No Location,643,"RT @bethereumteam: Read about what we've achieved together!
The #Bethereum army is stronger than ever and growing by numbers. ?
Vote for us…"
13,Sun Mar 18 23:26:01 +0000 2018,0,No Location,4500,"RT @bigbomglobal: ? ? ? BIGBOM ON START-UP COFFEE VTV1 - the national channel in Vietnam which attracts million views per day ? ? ?
https:/…"
14,Sun Mar 18 23:26:01 +0000 2018,0,No Location,608,RT @yetcryptotrader: #StellarLumens #giveway #donate every week . More than 200.000 in 2018 #StellarLumens . Stay Tuned and Follow us :)  @…
15,Sun Mar 18 23:26:00 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
16,Sun Mar 18 23:25:59 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
17,Sun Mar 18 23:25:59 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
18,Sun Mar 18 23:25:58 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
19,Sun Mar 18 23:25:58 +0000 2018,0,No Location,0,"https://t.co/syL9DfbqMH 
#Crypto #Blockchain #ICO https://t.co/EZ4QWaaDu3"
20,Sun Mar 18 23:25:58 +0000 2018,0,No Location,6,"RT @LaChaineCrypto: ?? Ethereum : bientôt à 400$ ? 

#Ethereum #Blockchain #Crypto ?

https://t.co/ayV61UL2zD via @LaChaineCrypto"
21,Sun Mar 18 23:25:56 +0000 2018,0,No Location,405,"RT @EuropeanCryptoB: Why European Crypto Bank and how we are different 
https://t.co/bbOxSvRXGM
#taxassistance #blockchain #ICO #cryptocurr…"
22,Sun Mar 18 23:25:56 +0000 2018,0,No Location,1830,RT @SwapyNetwork: ? 6 DAYS | Swapy Network ICO Presale will start on March 19! ?????????? Join our Telegram:[ https://t.co/AZQ0B05DhI ] to…
