,created_at,favorite_count,location,retweet_count,text
0,Sun Mar 18 23:26:09 +0000 2018,0,No Location,0,"Smart Cities and Urban Mobility 
https://t.co/XHlvATTeWV 
by @ChiaraCarella v/ @SlideShare @Frost_Sullivan… https://t.co/vWEPiafNxw"
1,Sun Mar 18 23:26:07 +0000 2018,0,No Location,1,"RT @VenturaSystems: Gartner's Top Predictions For 2018 and Beyond 

#CyberSecurity #IoT #ArtificialIntelligence #Mobile #blockchain #innova…"
2,Sun Mar 18 23:26:00 +0000 2018,0,No Location,6,"RT @karolina_kurzac: Healthcare and Financial Services are the largest industries that want to move workloads to the Cloud

{Infographic}…"
3,Sun Mar 18 23:25:59 +0000 2018,0,No Location,8,RT @DrivingTheDay: News Review: The Consensus GAC Advice on EU #GDPR &amp; ICANN #WHOIS Was The Final Blow To @ICANN at #ICANN61  https://t.co/…
4,Sun Mar 18 23:25:46 +0000 2018,0,No Location,8,RT @cybersecboardrm: Cryptocurrency dark web: Next most popular cryptocurrency among cyber criminals REVEALED #cybercrime #cryptocurrency #…
5,Sun Mar 18 23:25:14 +0000 2018,0,No Location,0,The perfect book to help anyone 50+ learn Facebook--in full color! https://t.co/YQRIyw2xlP #Cybersecurity #Bitcoin https://t.co/AGdbZF9EmU
6,Sun Mar 18 23:25:10 +0000 2018,0,No Location,0,Don't Let the Real Test Be Your First Test! Prepare for CompTIA S https://t.co/mibcHZ4Zs1 #Cybersecurity #Bitcoin https://t.co/rolSBtrFtz
7,Sun Mar 18 23:25:08 +0000 2018,0,No Location,0,@sggrc A White House Staffer Allegedly Left His Encrypted Email Login + Password at a DC Bus Stop - #cybersecurity… https://t.co/UhKnZWM1uX
8,Sun Mar 18 23:25:07 +0000 2018,0,No Location,0,Secrets. Lies. Choices. When a pharmaceutical company hires Brody https://t.co/MMAjD24teO #Cybersecurity #Bitcoin https://t.co/VVC7yEcDjJ
9,Sun Mar 18 23:25:05 +0000 2018,0,No Location,18,"RT @tfkohler: Gartner Top 10 Strategic Technology Trends 2018

 https://t.co/hEma3WoLCF @Gartner_inc

Incl.?
#AI #BigData #Analytics #Futur…"
10,Sun Mar 18 23:25:04 +0000 2018,0,No Location,0,"Since the turn of the century much has happened in politics, gover https://t.co/y9rBsxF0Po #Cybersecurity #Bitcoin https://t.co/M6UPuc8WPr"
11,Sun Mar 18 23:25:03 +0000 2018,0,No Location,1,"RT @rtehrani: Great #SXSW wrapup from @ErinCarson https://t.co/aAnBiTcDf7

@CNET  @elonmusk  @elonmusk  #swsw18 #sxsw2018 #5G #SmartCity #I…"
12,Sun Mar 18 23:25:01 +0000 2018,0,No Location,0,Public government statements have cited cyber-attacks by terrorist https://t.co/r46uD4cRSf #Cybersecurity #Bitcoin https://t.co/2OrXfnvs6M
13,Sun Mar 18 23:24:51 +0000 2018,0,No Location,5,"RT @DallasOEM: #CyberSecurity is a year-round responsibility. With more and more happening online, it's vital to keep personal information…"
14,Sun Mar 18 23:24:48 +0000 2018,0,No Location,8,RT @DrivingTheDay: News Review: The Consensus GAC Advice on EU #GDPR &amp; ICANN #WHOIS Was The Final Blow To @ICANN at #ICANN61  https://t.co/…
15,Sun Mar 18 23:24:42 +0000 2018,0,No Location,897,"RT @CrypteloDrive: #Cryptelo Team is all smiles after yesterday's start of the Public Sale!

We've already raised 646+ ETH. Thank you for y…"
16,Sun Mar 18 23:24:26 +0000 2018,0,No Location,200,"RT @Fisher85M: It was an honor and pleasure to join industry leaders at #DellExperience #SXSW 2018!

Check out my interview with @DellTech!…"
17,Sun Mar 18 23:24:21 +0000 2018,0,No Location,1000,RT @tomsitlogic: Stop Trying to Prevent a Cyber Incident and Start Planning for One https://t.co/fuY3g8msoU #ciso #cybersecurity #retail #h…
18,Sun Mar 18 23:24:14 +0000 2018,0,No Location,18,"RT @ipfconline1: #Regtech 101:
What It Is
Why Now
&amp; Why It Matters
  v/ @cbinsights
#Fintech #CyberSecurity #Startups #AI #NLP #MachineLear…"
19,Sun Mar 18 23:23:56 +0000 2018,0,No Location,2,"RT @DITRStocks: $WRFX ‘s subsidiary, https://t.co/CShlUHF5z2 ‘s technology gives privacy and security back to the people through state-of-t…"
20,Sun Mar 18 23:23:46 +0000 2018,0,No Location,5,"RT @aravo: 5 Top Trends in #Cybersecurity #Regulation
https://t.co/KPG78yd5zD

.
#infosec #datasec #corpgov #gdpr #edatap #cio #finserv #ci…"
21,Sun Mar 18 23:23:41 +0000 2018,0,No Location,1,RT @Venafi: Why more enterprises should be paying attention to Machine Identities https://t.co/rNLQFOx9hB  via @CyberScoopNews #M2M #cybers…
