,created_at,favorite_count,location,retweet_count,text
0,Sun Mar 18 23:26:02 +0000 2018,0,No Location,6,"RT @Ronald_vanLoon: The Future of #ArtificialIntelligence in #DigitalMarketing 
by @imariajohnsen @Smashwords | 

Read more here: https://t…"
1,Sun Mar 18 23:26:02 +0000 2018,0,No Location,6,"RT @Ronald_vanLoon: The Future of #ArtificialIntelligence in #DigitalMarketing 
by @imariajohnsen @Smashwords | 

Read more here: https://t…"
2,Sun Mar 18 23:26:01 +0000 2018,0,No Location,2,Evolutionary Generative Adversarial Networks. #BigData #DeepLearning #MachineLearning #DataScience #AI… https://t.co/nVlwLyue9g
3,Sun Mar 18 23:25:33 +0000 2018,0,No Location,167,RT @MikeQuindazzi: Next in #retail? Testing multi-person activity recognition in unseen environments while eating snacks. #AI #MachineLearn…
4,Sun Mar 18 23:25:20 +0000 2018,0,No Location,6,"RT @Ronald_vanLoon: The Future of #ArtificialIntelligence in #DigitalMarketing 
by @imariajohnsen @Smashwords | 

Read more here: https://t…"
5,Sun Mar 18 23:25:10 +0000 2018,0,No Location,2,"RT @EU_IPO: Have you tried our visual search feature on eSearch plus? Based on #deeplearning technology, it helps you find the #design you…"
6,Sun Mar 18 23:24:54 +0000 2018,0,No Location,1,"RT @ParisMahavira: RT DeepLearn007 ""RT DeepLearn007: What’s real in Artificial Intelligence and Machine Learning
#AI #MachineLearning #Deep…"
7,Sun Mar 18 23:24:31 +0000 2018,0,No Location,8,"RT @NVIDIADC: Check out the #ibmthink2018 session ""Predicting Space Weather and Planetary Defense with NASA FDL and @IBM Cloud"" on Monday a…"
8,Sun Mar 18 23:24:28 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
9,Sun Mar 18 23:24:27 +0000 2018,0,No Location,0,Cracking Open the Black Box of #AI with Cell #Biology https://t.co/T7xrV584ow… #neuralnetwork #deeplearning https://t.co/hVBZdDsJWH
10,Sun Mar 18 23:24:19 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
11,Sun Mar 18 23:24:17 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
12,Sun Mar 18 23:24:10 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
13,Sun Mar 18 23:24:09 +0000 2018,0,No Location,6,"RT @Ronald_vanLoon: The Future of #ArtificialIntelligence in #DigitalMarketing 
by @imariajohnsen @Smashwords | 

Read more here: https://t…"
14,Sun Mar 18 23:24:09 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
15,Sun Mar 18 23:24:04 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
16,Sun Mar 18 23:24:03 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
17,Sun Mar 18 23:24:01 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
18,Sun Mar 18 23:24:01 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
19,Sun Mar 18 23:24:00 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
20,Sun Mar 18 23:23:55 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
21,Sun Mar 18 23:23:51 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
22,Sun Mar 18 23:23:14 +0000 2018,0,No Location,1,RT @MCMChorfa: CakeChat #Emotional #Generative #Dialog #System that is able to express #emotions in a text #conversation | #deeplearning #A…
23,Sun Mar 18 23:23:14 +0000 2018,0,No Location,1,CakeChat #Emotional #Generative #Dialog #System that is able to express #emotions in a text #conversation |… https://t.co/TrahtKmVlT
24,Sun Mar 18 23:23:09 +0000 2018,0,No Location,0,"RT Ronald_vanLoon ""The Future of #ArtificialIntelligence in #DigitalMarketing 
by imariajohnsen Smashwords | 

Read… https://t.co/F3RZLOTkWz"
25,Sun Mar 18 23:23:04 +0000 2018,0,No Location,3,RT @grattongirl: Nokia and EDF join forces to test #InternetOfThings #Technology for industries -  https://t.co/hEdc39RuZt #IndustrialIoT #…
26,Sun Mar 18 23:22:53 +0000 2018,0,No Location,1,"RT @OliviaNikodem: RT DeepLearn007 ""RT DeepLearn007: This Audi Flying Car Could Hook Into Hyperloop, And It Looks Great
#AI #MachineLearnin…"
27,Sun Mar 18 23:22:29 +0000 2018,0,No Location,140,RT @VertiAI: Want to capitalise on Industry 4.0? Hire expert contractors https://t.co/iivvYR1kVC #IndustriaInternetofthings #Internetofthin…
28,Sun Mar 18 23:22:28 +0000 2018,0,No Location,140,RT @VertiAI: Want to capitalise on Industry 4.0? Hire expert contractors https://t.co/iivvYR1kVC #IndustriaInternetofthings #Internetofthin…
29,Sun Mar 18 23:22:00 +0000 2018,0,No Location,37,RT @PyImageSearch: I am excited to announce that @Microsoft + @MSFTResearch are sponsoring PyImageConf 2018 and providing FREE pre-configur…
30,Sun Mar 18 23:21:58 +0000 2018,0,No Location,0,"ASPnix Web Hosting - A Comparison of 3 Deep Learning Music Tools
https://t.co/eIaXaKAo0y
#Computing #Programming… https://t.co/BvcWOUYrjd"
31,Sun Mar 18 23:21:52 +0000 2018,0,No Location,55,"RT @KirkDBorne: Introduction to Recurrent Neural Networks (RNN): https://t.co/PlBY7Z5JJg 
#BigData #DataScience #AI #MachineLearning #DeepL…"
