,created_at,favorite_count,location,retweet_count,text
0,Sun Mar 18 23:24:59 +0000 2018,0,No Location,4,RT @Global_Heritage: Will #Turkey start using #drones to protect its #antiquities? https://t.co/UBROVkoD04
1,Sun Mar 18 23:23:34 +0000 2018,0,No Location,0,eBay: Q2 4 Axis 2.4Ghz Headless Mode Quadcopter Aircraft Helicopter Drone UAV https://t.co/ntuJ3hW9Wy #drones #uav… https://t.co/6LHSBA8hkA
2,Sun Mar 18 23:21:25 +0000 2018,0,No Location,0,"Can anyone with #drones experience help an author out with a few research questions?

1. How far from base can a to… https://t.co/b0TlqvmozR"
3,Sun Mar 18 23:21:09 +0000 2018,0,No Location,9,RT @wericpowell: 2.4Ghz WiFi interference is real my friends. This little guy flys perfectly away from the house. #drones #quadcopter @Spek…
4,Sun Mar 18 23:18:39 +0000 2018,0,No Location,0,.@TheDennisWagner on #Periscope: Sunset Drone Scope @PeriscopeTV #BBN #GoLive #SunsetClub #Drones #LexingtonKy https://t.co/9OX4IH5FXn
5,Sun Mar 18 23:18:13 +0000 2018,0,No Location,3,RT @TheDennisWagner: Sunset Drone Scope @PeriscopeTV #BBN #GoLive #SunsetClub #Drones #LexingtonKy  #Kyoutdoors #sunset https://t.co/Ens8to…
6,Sun Mar 18 23:17:54 +0000 2018,0,No Location,3,RT @TheDennisWagner: Sunset Drone Scope @PeriscopeTV #BBN #GoLive #SunsetClub #Drones #LexingtonKy  #Kyoutdoors #sunset https://t.co/Ens8to…
7,Sun Mar 18 23:17:40 +0000 2018,0,No Location,3,RT @TheDennisWagner: Sunset Drone Scope @PeriscopeTV #BBN #GoLive #SunsetClub #Drones #LexingtonKy  #Kyoutdoors #sunset https://t.co/Ens8to…
8,Sun Mar 18 23:17:22 +0000 2018,0,No Location,1,"RT @DroneFans: ? #Striker #Camera Spy #Drone ?

?? https://t.co/8ta1QxPzqQ ??

?Sign-Up for Text Alerts or Refer-a-Friend to SAVE 10%

#dro…"
9,Sun Mar 18 23:16:50 +0000 2018,0,No Location,3,Sunset Drone Scope @PeriscopeTV #BBN #GoLive #SunsetClub #Drones #LexingtonKy  #Kyoutdoors #sunset https://t.co/Ens8torc9Q
10,Sun Mar 18 23:15:25 +0000 2018,0,No Location,146,"RT @Fisher85M: Coordinated #drones can travel in difficult areas to help save lives. {Video}

#innovation #Algorithms #tech #robots https:/…"
11,Sun Mar 18 23:15:05 +0000 2018,0,No Location,11,"RT @antoniopescape: Taking #Drones to New Heights: Leveraging #Networks to Boost #UAV Performance
https://t.co/nPqoWeude6

@evankirstel @Ro…"
12,Sun Mar 18 23:13:13 +0000 2018,0,No Location,3,RT @3dReproductions: We’ve just flicked the switch on our big redesign of the R3PRO online store - it’s now even easier to find what you wa…
13,Sun Mar 18 23:13:05 +0000 2018,0,No Location,0,"Yes, our public facing website has been brought down for a while. This doesn't effect the customer VPN support site. #drones"
14,Sun Mar 18 23:10:51 +0000 2018,0,No Location,146,"RT @Fisher85M: Coordinated #drones can travel in difficult areas to help save lives. {Video}

#innovation #Algorithms #tech #robots https:/…"
15,Sun Mar 18 23:10:44 +0000 2018,0,No Location,4,"RT @brucedbaron: #robots #drones #AR #mobility #AI and a lot more to be seen at #think2018 I am heading to the airport, I'll race you.... h…"
16,Sun Mar 18 23:09:42 +0000 2018,0,No Location,1,"RT @CoresightNews: “There are amazing advancement with drones and deliveries in China. For example, drones at JD can hold up to one metric…"
17,Sun Mar 18 23:09:34 +0000 2018,0,No Location,0,#firstflight #drones #drone #chicago #park https://t.co/qEQVZIRqCK
18,Sun Mar 18 23:09:18 +0000 2018,0,No Location,10,"RT @Cable_mag: Trident at risk? Not for the foreseeable future, says @IanJKeddie.
Read 'Trident at Risk? UMV Technology vs Submarine Stealt…"
19,Sun Mar 18 23:08:02 +0000 2018,0,No Location,146,"RT @Fisher85M: Coordinated #drones can travel in difficult areas to help save lives. {Video}

#innovation #Algorithms #tech #robots https:/…"
20,Sun Mar 18 23:07:56 +0000 2018,2,No Location,1,"“There are amazing advancement with drones and deliveries in China. For example, drones at JD can hold up to one me… https://t.co/whSOmA4Mnm"
21,Sun Mar 18 23:06:35 +0000 2018,0,No Location,146,"RT @Fisher85M: Coordinated #drones can travel in difficult areas to help save lives. {Video}

#innovation #Algorithms #tech #robots https:/…"
22,Sun Mar 18 23:06:28 +0000 2018,0,No Location,0,"Top Consumer Drone Companies
https://t.co/DmIzzS42TO 
#DJI #Yuneec #drones #aerialphotography https://t.co/F0kallojro"
23,Sun Mar 18 23:06:21 +0000 2018,0,No Location,139,RT @MikeQuindazzi: Impact of #ai and #robots on the #futureofwork? 80% of work will be uniquely #human tasks! hashtags #automation #robotic…
24,Sun Mar 18 23:06:04 +0000 2018,0,No Location,196,RT @antgrasso: The #future of the #logistics industry. @JacBurns_Comext #DataAnalytics #IoT #Cloud #3Dprinting #drones #robotics #MachineLe…
25,Sun Mar 18 23:02:47 +0000 2018,0,No Location,0,eBay: KK MULTI-COPTER CONTROL BOARD BLACKBOARD V5.5 https://t.co/CtsYlXy6nN #drones #uav #uas https://t.co/mtTpPoV8N7
26,Sun Mar 18 23:00:10 +0000 2018,1,No Location,1,"?? X14 Space Explorer 6-Axis RC #Drone ??

?? https://t.co/1Ttyy9ZTbb ??

?Sign-Up for Text Alerts or Refer-a-Frien… https://t.co/4G91Y85zEu"
27,Sun Mar 18 22:59:50 +0000 2018,0,No Location,196,RT @antgrasso: The #future of the #logistics industry. @JacBurns_Comext #DataAnalytics #IoT #Cloud #3Dprinting #drones #robotics #MachineLe…
28,Sun Mar 18 22:58:58 +0000 2018,0,No Location,146,"RT @Fisher85M: Coordinated #drones can travel in difficult areas to help save lives. {Video}

#innovation #Algorithms #tech #robots https:/…"
29,Sun Mar 18 22:54:47 +0000 2018,0,No Location,0,RT @Surabees: I have a suspicion that John Brennan is a seriously evil man #tcot #tlot #drones
30,Sun Mar 18 22:53:54 +0000 2018,0,No Location,146,"RT @Fisher85M: Coordinated #drones can travel in difficult areas to help save lives. {Video}

#innovation #Algorithms #tech #robots https:/…"
31,Sun Mar 18 22:52:08 +0000 2018,0,No Location,3,"RT @TamaraMcCleary: First it was #Ontario, #Canada; now #Swiss #Police replace diesel cruisers with 7 #Tesla #ModelX 100Ds to save money/fi…"
32,Sun Mar 18 22:50:54 +0000 2018,0,No Location,6,RT @LDacharry: En abril en el cine teatro Español de la ciudad de Neuquén se realizará la 1ª Jornada Profesional sobre uso de #Drones. La e…
33,Sun Mar 18 22:50:22 +0000 2018,0,No Location,3,"RT @TamaraMcCleary: First it was #Ontario, #Canada; now #Swiss #Police replace diesel cruisers with 7 #Tesla #ModelX 100Ds to save money/fi…"
34,Sun Mar 18 22:50:08 +0000 2018,0,No Location,0,"Sebuah Kapal Barang sedang keluar dari Pelabuhan Kota Jayapura, Papua Indonesia
#dji #djiglobal #Phantom #phantom4… https://t.co/JMj7VgcSWP"
35,Sun Mar 18 22:49:42 +0000 2018,0,No Location,146,"RT @Fisher85M: Coordinated #drones can travel in difficult areas to help save lives. {Video}

#innovation #Algorithms #tech #robots https:/…"
36,Sun Mar 18 22:47:01 +0000 2018,0,No Location,146,"RT @Fisher85M: Coordinated #drones can travel in difficult areas to help save lives. {Video}

#innovation #Algorithms #tech #robots https:/…"
37,Sun Mar 18 22:46:48 +0000 2018,0,No Location,146,"RT @Fisher85M: Coordinated #drones can travel in difficult areas to help save lives. {Video}

#innovation #Algorithms #tech #robots https:/…"
38,Sun Mar 18 22:46:44 +0000 2018,0,No Location,146,"RT @Fisher85M: Coordinated #drones can travel in difficult areas to help save lives. {Video}

#innovation #Algorithms #tech #robots https:/…"
39,Sun Mar 18 22:46:41 +0000 2018,0,No Location,146,"RT @Fisher85M: Coordinated #drones can travel in difficult areas to help save lives. {Video}

#innovation #Algorithms #tech #robots https:/…"
