,created_at,favorite_count,location,retweet_count,text
0,Sun Mar 18 23:26:03 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
1,Sun Mar 18 23:26:03 +0000 2018,0,No Location,6,"RT @GlenGilmore: 8 Trends of IoT in 2018 

https://t.co/Z2yQvS1HVY via @onlporter #InternetOfThings #ArtificialIntelligence #BigData #FogCo…"
2,Sun Mar 18 23:26:01 +0000 2018,0,No Location,0,"Great article from @cisco on #connectedtransport Its much much more than #autonomousvehicles, it’s about people and… https://t.co/Qyu9Nprvq7"
3,Sun Mar 18 23:26:00 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
4,Sun Mar 18 23:25:59 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
5,Sun Mar 18 23:25:59 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
6,Sun Mar 18 23:25:58 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
7,Sun Mar 18 23:25:55 +0000 2018,0,No Location,899,RT @UserExperienceU: #Blended #program #management https://t.co/cCqbpGzVma #Futurist #IoT #BlockChain #Agile #DevOps #UX #CX #KarlSmith htt…
8,Sun Mar 18 23:25:48 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
9,Sun Mar 18 23:25:47 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
10,Sun Mar 18 23:25:47 +0000 2018,0,No Location,1,RT @embedded_comp: Great webinar: Effective Requirements Definition  and Management for the #IoT Enterprise. https://t.co/BFV1QGuAuo
11,Sun Mar 18 23:25:46 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
12,Sun Mar 18 23:25:45 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
13,Sun Mar 18 23:25:44 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
14,Sun Mar 18 23:25:44 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
15,Sun Mar 18 23:25:44 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
16,Sun Mar 18 23:25:43 +0000 2018,0,No Location,102,RT @YarmolukDan: ?????#DataScience #InternetOfThings #ArtificialIntelligence #BigData #BlockChain #IndustrialIoT #Industry40 #Technology #B…
