,created_at,favorite_count,location,retweet_count,text
0,Sun Mar 18 23:26:06 +0000 2018,0,No Location,51,"RT @HikariBlue: The Race For #AI : #Google, #Intel, #Apple In A Rush To Grab #ArtificialIntelligence Startups

#MachineLearning #ML #DeepLe…"
1,Sun Mar 18 23:26:06 +0000 2018,0,No Location,0,"The Advertiser Editorial, March 19, 2018: Marshall plan must focus on our strengths https://t.co/KvqH1LRSb5 #machinelearning"
2,Sun Mar 18 23:26:05 +0000 2018,0,No Location,0,Gtx 1070 vs 1080 deep learning https://t.co/eL6JfGC4Tj #MachineLearning https://t.co/lpG6l7WtY6
3,Sun Mar 18 23:26:05 +0000 2018,0,No Location,0,Gtx 1070 vs 1080 deep learning https://t.co/gw1VdZ8Mhq #MachineLearning
4,Sun Mar 18 23:26:04 +0000 2018,0,No Location,0,Google Lens Guide: What You Can Do with Google's AI-Powered Feature https://t.co/9ATpHw1iNA #machinelearning
5,Sun Mar 18 23:26:03 +0000 2018,0,No Location,3,"RT @Analytics_Edge_: The realms of #MachineLearning are endless
by @Ronald_vanLoon |

Watch &amp; Subscribe Here for an Explanation of Machine…"
6,Sun Mar 18 23:26:02 +0000 2018,0,No Location,6,"RT @Ronald_vanLoon: The Future of #ArtificialIntelligence in #DigitalMarketing 
by @imariajohnsen @Smashwords | 

Read more here: https://t…"
7,Sun Mar 18 23:26:02 +0000 2018,0,No Location,6,"RT @Ronald_vanLoon: The Future of #ArtificialIntelligence in #DigitalMarketing 
by @imariajohnsen @Smashwords | 

Read more here: https://t…"
8,Sun Mar 18 23:26:01 +0000 2018,0,No Location,2,Evolutionary Generative Adversarial Networks. #BigData #DeepLearning #MachineLearning #DataScience #AI… https://t.co/nVlwLyue9g
9,Sun Mar 18 23:25:41 +0000 2018,0,No Location,3,"RT @Skyfidelity: IoT and 5G: Combining for the Future of Smart Homes—Broadband, Thermostats, Voice Commands, Cloud Data Storage, Light Swit…"
10,Sun Mar 18 23:25:37 +0000 2018,0,No Location,3,"RT @Analytics_Edge_: The realms of #MachineLearning are endless
by @Ronald_vanLoon |

Watch &amp; Subscribe Here for an Explanation of Machine…"
11,Sun Mar 18 23:25:33 +0000 2018,0,No Location,167,RT @MikeQuindazzi: Next in #retail? Testing multi-person activity recognition in unseen environments while eating snacks. #AI #MachineLearn…
12,Sun Mar 18 23:25:33 +0000 2018,0,No Location,1,RT @machinelearnbot: Python A-Z: Python For Data Science With Real Exercises! https://t.co/12EjbwymFd #machinelearning #ad
13,Sun Mar 18 23:25:20 +0000 2018,0,No Location,6,"RT @Ronald_vanLoon: The Future of #ArtificialIntelligence in #DigitalMarketing 
by @imariajohnsen @Smashwords | 

Read more here: https://t…"
14,Sun Mar 18 23:25:08 +0000 2018,0,No Location,39,"RT @bobehayes: 10 Challenges to Practicing #DataScience at Work https://t.co/v5fF12E3Nc #machinelearning 
1. Dirty data (36%)
2. Lack of DS…"
15,Sun Mar 18 23:25:05 +0000 2018,0,No Location,18,"RT @tfkohler: Gartner Top 10 Strategic Technology Trends 2018

 https://t.co/hEma3WoLCF @Gartner_inc

Incl.?
#AI #BigData #Analytics #Futur…"
16,Sun Mar 18 23:25:02 +0000 2018,0,No Location,0,"#datadriven decisions are easy. Dangerously easy. “In the rush to free of ourselves of our ‘assumptions’, we often… https://t.co/ZYtSdCMKHz"
17,Sun Mar 18 23:24:54 +0000 2018,0,No Location,1,"RT @ParisMahavira: RT DeepLearn007 ""RT DeepLearn007: What’s real in Artificial Intelligence and Machine Learning
#AI #MachineLearning #Deep…"
18,Sun Mar 18 23:24:28 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
19,Sun Mar 18 23:24:26 +0000 2018,1,No Location,1,Python A-Z: Python For Data Science With Real Exercises! https://t.co/12EjbwymFd #machinelearning #ad
20,Sun Mar 18 23:24:26 +0000 2018,0,No Location,0,Tableau 10 A-Z: Hands-On Tableau Training For Data Science! https://t.co/4rxfU2zs8S #machinelearning #ad
21,Sun Mar 18 23:24:19 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
22,Sun Mar 18 23:24:17 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
23,Sun Mar 18 23:24:14 +0000 2018,0,No Location,17,"RT @ipfconline1: #Regtech 101:
What It Is
Why Now
&amp; Why It Matters
  v/ @cbinsights
#Fintech #CyberSecurity #Startups #AI #NLP #MachineLear…"
24,Sun Mar 18 23:24:12 +0000 2018,0,No Location,88,"RT @Strat_AI: #ArtificialIntelligence Will Evolve Into Hybrid Intelligence - https://t.co/SxeqPywp8l

#ai #bi #datascience #datamining #fin…"
25,Sun Mar 18 23:24:10 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
26,Sun Mar 18 23:24:09 +0000 2018,0,No Location,6,"RT @Ronald_vanLoon: The Future of #ArtificialIntelligence in #DigitalMarketing 
by @imariajohnsen @Smashwords | 

Read more here: https://t…"
27,Sun Mar 18 23:24:09 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
28,Sun Mar 18 23:24:04 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
29,Sun Mar 18 23:24:03 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
30,Sun Mar 18 23:24:01 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
31,Sun Mar 18 23:24:01 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
32,Sun Mar 18 23:24:00 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
33,Sun Mar 18 23:23:55 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
34,Sun Mar 18 23:23:51 +0000 2018,0,No Location,105,"RT @mvasey: Microsoft Blocked More Than 400,000 Malicious Cryptojacking Attempts In One Day https://t.co/H1ks3gtWJB #Microsoft #IoT #Cloud…"
35,Sun Mar 18 23:23:46 +0000 2018,0,No Location,6,RT @KirkDBorne: UK demand for #AI professionals has almost tripled in three years: https://t.co/QOuGMt05JW #BigData #DataScience #MachineLe…
36,Sun Mar 18 23:23:40 +0000 2018,0,No Location,8,"RT @KirkDBorne: Scotland's #DataFest18 is here, this week! Do not miss it. And join me and other #DataScientists in Edinburgh as we come to…"
37,Sun Mar 18 23:23:32 +0000 2018,0,No Location,2,RT @afigueiredo: Artificial Intelligence : The Complete Guide https://t.co/Kt5VyaSylB #AI #MachineLearning https://t.co/jSNTaFjs6T
38,Sun Mar 18 23:23:29 +0000 2018,0,No Location,8,RT @KirkDBorne: Embrace #DataScience with the creation of an Enterprise Analytics Group &gt;&gt; Learn how Self-Service Analytics fosters a Data-…
39,Sun Mar 18 23:23:14 +0000 2018,0,No Location,0,Introduction to Linear Algebra by Gilbert Strang for #MachineLearning - #AI #Algorithms - https://t.co/lfSm3HvnUe
40,Sun Mar 18 23:23:09 +0000 2018,0,No Location,0,"RT Ronald_vanLoon ""The Future of #ArtificialIntelligence in #DigitalMarketing 
by imariajohnsen Smashwords | 

Read… https://t.co/F3RZLOTkWz"
41,Sun Mar 18 23:23:04 +0000 2018,0,No Location,3,RT @grattongirl: Nokia and EDF join forces to test #InternetOfThings #Technology for industries -  https://t.co/hEdc39RuZt #IndustrialIoT #…
42,Sun Mar 18 23:22:53 +0000 2018,0,No Location,1,"RT @OliviaNikodem: RT DeepLearn007 ""RT DeepLearn007: This Audi Flying Car Could Hook Into Hyperloop, And It Looks Great
#AI #MachineLearnin…"
43,Sun Mar 18 23:22:29 +0000 2018,0,No Location,140,RT @VertiAI: Want to capitalise on Industry 4.0? Hire expert contractors https://t.co/iivvYR1kVC #IndustriaInternetofthings #Internetofthin…
44,Sun Mar 18 23:22:28 +0000 2018,0,No Location,140,RT @VertiAI: Want to capitalise on Industry 4.0? Hire expert contractors https://t.co/iivvYR1kVC #IndustriaInternetofthings #Internetofthin…
45,Sun Mar 18 23:22:00 +0000 2018,0,No Location,37,RT @PyImageSearch: I am excited to announce that @Microsoft + @MSFTResearch are sponsoring PyImageConf 2018 and providing FREE pre-configur…
46,Sun Mar 18 23:21:52 +0000 2018,0,No Location,55,"RT @KirkDBorne: Introduction to Recurrent Neural Networks (RNN): https://t.co/PlBY7Z5JJg 
#BigData #DataScience #AI #MachineLearning #DeepL…"
47,Sun Mar 18 23:21:41 +0000 2018,0,No Location,0,Better #Analytics  decisions day by day @MultipolarSAAS #MachineLearning #BigData #PredictiveAnalytics #Startups… https://t.co/H1Ia7Ztn75
48,Sun Mar 18 23:21:40 +0000 2018,0,No Location,11,RT @IainLJBrown: Wada to use artificial intelligence to catch doping cheats more efficiently https://t.co/nanSyp6VAI #DataScience #MachineL…
49,Sun Mar 18 23:21:39 +0000 2018,0,No Location,11,RT @IainLJBrown: Wada to use artificial intelligence to catch doping cheats more efficiently https://t.co/nanSyp6VAI #DataScience #MachineL…
50,Sun Mar 18 23:21:11 +0000 2018,0,No Location,19,RT @KirkDBorne: The technologists building #ArtificialIntelligence #algorithms should take responsibility for the technology’s impact on so…
51,Sun Mar 18 23:20:53 +0000 2018,0,No Location,0,"RT @OliviaNikodem: RT DeepLearn007 ""RT DeepLearn007: What’s real in Artificial Intelligence and Machine Learning
#AI #MachineLearning #Deep…"
52,Sun Mar 18 23:20:50 +0000 2018,0,No Location,5,RT @nschaetti: 10 Surprising Ways #MachineLearning is Being Used Today - InformationWeek #AI #IA #BigData #DataScience https://t.co/AGzsTOV…
53,Sun Mar 18 23:20:38 +0000 2018,0,No Location,1,"RT @jgodard2: How AI Could Help the Public Sector https://t.co/6EDtoEHlGM
#AI #BigData #ML #DL #IoT #IIoT #MachineLearning #DataScience #De…"
