,created_at,favorite_count,location,retweet_count,text
0,Sun Mar 18 23:23:56 +0000 2018,0,No Location,2,"RT @DITRStocks: $WRFX ‘s subsidiary, https://t.co/CShlUHF5z2 ‘s technology gives privacy and security back to the people through state-of-t…"
1,Sun Mar 18 23:12:05 +0000 2018,0,No Location,2,"RT @DITRStocks: $WRFX ‘s subsidiary, https://t.co/CShlUHF5z2 ‘s technology gives privacy and security back to the people through state-of-t…"
2,Sun Mar 18 22:55:58 +0000 2018,0,No Location,33,"RT @ipfconline1: Opportunities of Quantum #MachineLearning
?Using the Potential of Quantum #Tech as a Possible Solution to The Unresolvable…"
3,Sun Mar 18 22:52:17 +0000 2018,0,No Location,18,"RT @ismaelfaro: Una de mis próximas charlas ""Computación Cuántica desde el punto de vista de un Developer"" https://t.co/mE8scQ5qHu #Quantum…"
4,Sun Mar 18 22:51:01 +0000 2018,0,No Location,0,"RT @dataiku #Quantum ML vs classical #ML by @ICFOnians. If you're in DC, join our Meetup on the emerging role of… https://t.co/3duUbf7HLI"
5,Sun Mar 18 22:47:32 +0000 2018,0,No Location,2,"RT @dataiku: #Quantum ML vs classical #ML by @ICFOnians. If you're in DC, join our Meetup on the emerging role of #quantumcomputing in mach…"
6,Sun Mar 18 22:46:26 +0000 2018,0,No Location,21,RT @MSFTQuantum: .@frances_tibble's beginner-friendly guide to #quantumcomputing and Q# will have you writing your first #quantum program i…
7,Sun Mar 18 22:45:50 +0000 2018,0,No Location,12,RT @GVAResearch: #QuantumComputing #QuantumIsComing #Quantum1Net https://t.co/GTKk4MeP6F
8,Sun Mar 18 22:42:33 +0000 2018,0,No Location,2,"RT @dataiku: #Quantum ML vs classical #ML by @ICFOnians. If you're in DC, join our Meetup on the emerging role of #quantumcomputing in mach…"
9,Sun Mar 18 22:39:00 +0000 2018,2,No Location,2,"#Quantum ML vs classical #ML by @ICFOnians. If you're in DC, join our Meetup on the emerging role of… https://t.co/OfpIL6rMO9"
10,Sun Mar 18 22:34:12 +0000 2018,0,No Location,4,"RT @9cnewsuae: #LIKE 11  PLZ RT IT :)   

The Top 30 Technologies 2018-2023 #DigitalPeriscope 

https://t.co/fJUDnvOZtT
#AI #IoT #Robots #C…"
11,Sun Mar 18 22:27:23 +0000 2018,0,No Location,11,"RT @gp_pulipaka: Atos Launches World’s Fastest Quantum Simulator. #BigData #MachineLearning #DataScience #AI #QuantumComputing #HPC 
https:…"
