,created_at,favorite_count,location,retweet_count,text
0,Fri Mar 16 01:24:05 +0000 2018,0,No Location,1,RT @BayleeB79: @SlicksTweetz Scarey AF but this has been in the works for MANY years. They're just perfecting and escalating it now that pe…
1,Thu Mar 15 23:19:24 +0000 2018,1,No Location,1,@SlicksTweetz Scarey AF but this has been in the works for MANY years. They're just perfecting and escalating it no… https://t.co/k2l8biBf6a
2,Thu Mar 15 14:06:28 +0000 2018,0,No Location,1,RT @domoalfred: El polvo inteligente (smart dust) se integrará entre nosotros de manera imperceptible para controlar las infraestructuras d…
3,Thu Mar 15 07:46:28 +0000 2018,1,No Location,1,El polvo inteligente (smart dust) se integrará entre nosotros de manera imperceptible para controlar las infraestru… https://t.co/bERU8x17aC
4,Wed Mar 14 22:38:15 +0000 2018,0,No Location,1,RT @msrlw: #Biofilm! One of the many ways EVERYONE is being affected! #Nanotechnology #SmartDust &amp; other technological &amp; biological threats…
5,Wed Mar 14 22:05:45 +0000 2018,1,No Location,1,#Biofilm! One of the many ways EVERYONE is being affected! #Nanotechnology #SmartDust &amp; other technological &amp; biolo… https://t.co/qAK8E5ylYc
6,Wed Mar 14 16:41:29 +0000 2018,4,No Location,0,@OpChemtrails @marriedyourbro #QAnon #chemtrails #truth #morgellons #smartdust https://t.co/f43c7OKT10
7,Wed Mar 14 13:31:51 +0000 2018,0,No Location,2,"RT @cataloniaiot: Saps què és l'anomenat #SmartDust? Aquesta ""pols intel·ligent, creada per l'agència nord-americana #DARPA, ja està creant…"
8,Wed Mar 14 12:49:03 +0000 2018,0,No Location,1,"RT @MyBotRobot_com: Robots convertidos en motas invisibles, autónomas y conectadas, que abaratan procesos.
La nueva era tras el Internet de…"
9,Wed Mar 14 11:30:14 +0000 2018,3,No Location,2,"Saps què és l'anomenat #SmartDust? Aquesta ""pols intel·ligent, creada per l'agència nord-americana #DARPA, ja està… https://t.co/kTxZvqzlJG"
10,Wed Mar 14 07:37:30 +0000 2018,0,No Location,11,"RT @SteerMark: 150 Reasons Chemtrails are real. #Geoengineering slideshow.
#ClimateChange  
#NeurotoxicHeavyMetals
#NeuroDegeneration
#Allu…"
11,Wed Mar 14 07:30:05 +0000 2018,1,No Location,1,"Robots convertidos en motas invisibles, autónomas y conectadas, que abaratan procesos.
La nueva era tras el Interne… https://t.co/eoBWvXMTfo"
12,Tue Mar 13 22:29:25 +0000 2018,0,No Location,11,"RT @SteerMark: 150 Reasons Chemtrails are real. #Geoengineering slideshow.
#ClimateChange  
#NeurotoxicHeavyMetals
#NeuroDegeneration
#Allu…"
13,Tue Mar 13 08:58:35 +0000 2018,0,No Location,0,"#BioChemWeaponized used to attack U.S. 

https://t.co/XIk1zsMaPs via @YouTube

#HumanTransceivers
#SmartDust

It is… https://t.co/mfDuQghodD"
14,Tue Mar 13 02:31:33 +0000 2018,0,No Location,0,"@realDonaldTrump
#haarpclouds #smartdust #bioengineering #chemicalspray #weather #weathermodifcation… https://t.co/K7XyvgcEyx"
15,Tue Mar 13 01:01:25 +0000 2018,0,No Location,11,"RT @SteerMark: 150 Reasons Chemtrails are real. #Geoengineering slideshow.
#ClimateChange  
#NeurotoxicHeavyMetals
#NeuroDegeneration
#Allu…"
16,Mon Mar 12 23:34:54 +0000 2018,0,No Location,11,"RT @SteerMark: 150 Reasons Chemtrails are real. #Geoengineering slideshow.
#ClimateChange  
#NeurotoxicHeavyMetals
#NeuroDegeneration
#Allu…"
17,Mon Mar 12 21:33:37 +0000 2018,0,No Location,11,"RT @SteerMark: 150 Reasons Chemtrails are real. #Geoengineering slideshow.
#ClimateChange  
#NeurotoxicHeavyMetals
#NeuroDegeneration
#Allu…"
18,Mon Mar 12 20:57:35 +0000 2018,0,No Location,11,"RT @SteerMark: 150 Reasons Chemtrails are real. #Geoengineering slideshow.
#ClimateChange  
#NeurotoxicHeavyMetals
#NeuroDegeneration
#Allu…"
19,Mon Mar 12 18:52:54 +0000 2018,0,No Location,11,"RT @SteerMark: 150 Reasons Chemtrails are real. #Geoengineering slideshow.
#ClimateChange  
#NeurotoxicHeavyMetals
#NeuroDegeneration
#Allu…"
20,Mon Mar 12 18:28:57 +0000 2018,0,No Location,11,"RT @SteerMark: 150 Reasons Chemtrails are real. #Geoengineering slideshow.
#ClimateChange  
#NeurotoxicHeavyMetals
#NeuroDegeneration
#Allu…"
