,created_at,favorite_count,location,retweet_count,text
0,Sun Mar 18 23:26:03 +0000 2018,0,No Location,128,RT @VARcrypt: The latest The Virtual and Augmented Reality Daily! https://t.co/AC04GBSBjF Thanks to @VitalikButerin @PKTSizedHands #vr #ar
1,Sun Mar 18 23:25:57 +0000 2018,0,No Location,4,"RT @apprealvr: Virtual Reality Changes the Game for Online Casinos. 
https://t.co/GBHUQXmIjC

#AugmentedReality #AR #VR #VirtualReality #Te…"
2,Sun Mar 18 23:25:46 +0000 2018,0,No Location,128,RT @VARcrypt: The latest The Virtual and Augmented Reality Daily! https://t.co/AC04GBSBjF Thanks to @VitalikButerin @PKTSizedHands #vr #ar
3,Sun Mar 18 23:25:11 +0000 2018,0,No Location,4,"RT @apprealvr: Virtual Reality Changes the Game for Online Casinos. 
https://t.co/GBHUQXmIjC

#AugmentedReality #AR #VR #VirtualReality #Te…"
4,Sun Mar 18 23:25:05 +0000 2018,0,No Location,18,"RT @tfkohler: Gartner Top 10 Strategic Technology Trends 2018

 https://t.co/hEma3WoLCF @Gartner_inc

Incl.?
#AI #BigData #Analytics #Futur…"
5,Sun Mar 18 23:24:59 +0000 2018,0,No Location,46,RT @CrowdConscious: Exciting news! @decentraland $LAND marketplace launches next week! Learn about #VRSDistrict &amp; vision within Decentralan…
6,Sun Mar 18 23:24:37 +0000 2018,0,No Location,153,RT @antgrasso: What is the Digital Future to Youth? The most exciting #technologies expected to have the largest impact on their future wil…
7,Sun Mar 18 23:24:29 +0000 2018,0,No Location,0,"Guys, #ImmVRse is a combination of B2C and B2B connected and #decentralised #blockchain video-sharing platform, whe… https://t.co/sJosy7igPn"
8,Sun Mar 18 23:24:21 +0000 2018,0,No Location,0,Another one for the @melodyvirtual #VR Music platform. With 6000 hours bagged already I wonder how many times each… https://t.co/rfjQSFRShb
9,Sun Mar 18 23:24:17 +0000 2018,0,No Location,4,"RT @apprealvr: Virtual Reality Changes the Game for Online Casinos. 
https://t.co/GBHUQXmIjC

#AugmentedReality #AR #VR #VirtualReality #Te…"
10,Sun Mar 18 23:23:50 +0000 2018,0,No Location,0,#altairvr #vr #ico https://t.co/K23gwuuNxK
11,Sun Mar 18 23:23:42 +0000 2018,0,No Location,0,#altairvr #vr #ico https://t.co/4y1wblw4nr
12,Sun Mar 18 23:23:16 +0000 2018,0,No Location,1,RT @ASFFest: Film is an ever-changing and ever-evolving medium; it’s at the heart of everything we do. Submit your #VR film into ASFF 2018…
13,Sun Mar 18 23:23:13 +0000 2018,0,No Location,4,"RT @apprealvr: Virtual Reality Changes the Game for Online Casinos. 
https://t.co/GBHUQXmIjC

#AugmentedReality #AR #VR #VirtualReality #Te…"
14,Sun Mar 18 23:22:23 +0000 2018,3,No Location,4,"Virtual Reality Changes the Game for Online Casinos. 
https://t.co/GBHUQXmIjC

#AugmentedReality #AR #VR… https://t.co/4NfasVXKIP"
15,Sun Mar 18 23:21:59 +0000 2018,0,No Location,1,"RT @RickKing16: Watch ""ATTACK OF THE THE KILLER TOMATOES IN #VR | Fruit Attacks VR Gameplay - HTC Vive Gameplay"" on YouTube https://t.co/fL…"
16,Sun Mar 18 23:21:15 +0000 2018,0,No Location,46,RT @CrowdConscious: Exciting news! @decentraland $LAND marketplace launches next week! Learn about #VRSDistrict &amp; vision within Decentralan…
17,Sun Mar 18 23:20:58 +0000 2018,0,No Location,46,RT @CrowdConscious: Exciting news! @decentraland $LAND marketplace launches next week! Learn about #VRSDistrict &amp; vision within Decentralan…
18,Sun Mar 18 23:20:43 +0000 2018,0,No Location,0,??VR??????????????????? ????? ? ????????????????????????????????????????????…?????...https://t.co/Sh1XmMdz1F #?????… https://t.co/NoUTD2vY3s
19,Sun Mar 18 23:20:20 +0000 2018,0,No Location,0,"Glad to participate in this project with a team of professionals, guys know what they are doing! I am very pleased… https://t.co/4kpK9H9nQl"
20,Sun Mar 18 23:20:10 +0000 2018,0,No Location,27,"RT @naughtyamerica: Thank goodness for a lazy #SundayMorning. 

@Abella_Danger #VR &gt;&gt; https://t.co/xKWQtaQ0xL https://t.co/fG3KGBnizE"
21,Sun Mar 18 23:20:02 +0000 2018,0,No Location,1,RT @DurkatWork: A little outdoor bandpractice. #madewithunity #VR https://t.co/YN6dq4UrcK
22,Sun Mar 18 23:19:40 +0000 2018,0,No Location,0,"#VR #iA
L’ Oréal acquiert ModiFace et se renforce dans la réalité augmentée et l'intelligence artificielle
https://t.co/MX9Glks0BB"
23,Sun Mar 18 23:19:34 +0000 2018,0,No Location,0,Why a Vanderbilt researcher is using virtual reality to fight opioids by PsychKnowledgy #vr #oculus #rift https://t.co/t5AW2cpFII
24,Sun Mar 18 23:19:15 +0000 2018,0,No Location,0,What is the Digital Future to Youth? The most exciting #technologies expected to have the largest impact on their f… https://t.co/RSgMlvHLHc
25,Sun Mar 18 23:19:09 +0000 2018,0,No Location,0,"Going #live with more From Other Suns! Like FTL? You'll love this #VR Roguelite game!

https://t.co/sGCePW88HA… https://t.co/QKcSrMtthU"
26,Sun Mar 18 23:19:03 +0000 2018,0,No Location,0,@AlainGoudey @Temassue @Jpeg51 @DaMrTom @ThierryPicq #IOT #IA #VR #VA We are on the right path ! #BusinessSchool https://t.co/PrfBbBKaPd
27,Sun Mar 18 23:18:17 +0000 2018,0,No Location,122,RT @VARcrypt: Check out our list of the coolest AR and VR hardware and apps coming out this year https://t.co/dtcVywuCD4 #vr
28,Sun Mar 18 23:18:17 +0000 2018,0,No Location,19,"RT @HealthierRec: How #data is transforming #healthcare:

#BigData #HealthTech #datascience #ai #tech #MachineLearning #deeperlearning #IoT…"
29,Sun Mar 18 23:18:11 +0000 2018,0,No Location,0,"RT @lithodomosvr: Travel through history with us to visit Circus Maximus, the ancient Roman chariot racing stadium,… https://t.co/zNq2Z7NAko"
30,Sun Mar 18 23:17:32 +0000 2018,0,No Location,122,RT @VARcrypt: Check out our list of the coolest AR and VR hardware and apps coming out this year https://t.co/dtcVywuCD4 #vr
31,Sun Mar 18 23:17:03 +0000 2018,0,No Location,3,"RT @jbmcculloch: Reminder, registration is open for the #MixedReality Developer Summit, Aug 27-31 at @Microsoft's Redmond Campus.  Register…"
32,Sun Mar 18 23:17:01 +0000 2018,0,No Location,0,"Watch ""LEARNING HOW TO MAKE BABIES! | The American Dream #VR Gameplay - Part 2 (HTC Vive)"" on YouTube… https://t.co/o3uLIJQtG1"
33,Sun Mar 18 23:16:54 +0000 2018,1,No Location,0,"#worldopoly #game #VR https://t.co/E6ebRJmDMG
Great ICO for this year. Potential project with strong team. Will con… https://t.co/bxW93RqeFo"
34,Sun Mar 18 23:16:50 +0000 2018,0,No Location,0,"? watch ?

https://t.co/hVqD1wWjJB

#vr #porn #sextoys #3d #redhead #vrbangers #professional #teen #clitoris… https://t.co/F0EBF0cqIt"
35,Sun Mar 18 23:16:44 +0000 2018,0,No Location,0,180°?????????????????VR??????????Kcup????AV ????  https://t.co/YXYAQ2g9Tt … #vr #vr???? #JAV #VR #?? #???? https://t.co/BDaPGgGVsb
36,Sun Mar 18 23:16:38 +0000 2018,0,No Location,1,"RT @lithodomosvr: Travel through history with us to visit Circus Maximus, the ancient Roman chariot racing stadium, accurately recreated do…"
37,Sun Mar 18 23:15:33 +0000 2018,0,No Location,13,"RT @marukun: ?????? #MZVR ?????????????????????????Common Source Code Project????????????????????????????????????????
?????????????????????…"
38,Sun Mar 18 23:15:17 +0000 2018,0,No Location,153,RT @antgrasso: What is the Digital Future to Youth? The most exciting #technologies expected to have the largest impact on their future wil…
39,Sun Mar 18 23:15:03 +0000 2018,0,No Location,0,How #augmentedeality and #virtualreality will reshape the food industry https://t.co/Jz94YIWlQt via @HuffPostBlog… https://t.co/JhZ2t0TgFL
40,Sun Mar 18 23:14:51 +0000 2018,0,No Location,6,RT @SkarredGhost: #VirtualReality #VR: @htcvive &amp; Shenzhen Government Team Up for $160 Million Investment Fund ...who wants some money for…
41,Sun Mar 18 23:14:43 +0000 2018,0,No Location,1,"RT @AECmagazine: Forget #BIM. DEVELOP3D Live (Warwick, March 20) is a free conference and exhibition that offers the perfect opportunity to…"
42,Sun Mar 18 23:14:34 +0000 2018,0,No Location,6,RT @SkarredGhost: #VirtualReality #VR: @htcvive &amp; Shenzhen Government Team Up for $160 Million Investment Fund ...who wants some money for…
43,Sun Mar 18 23:14:14 +0000 2018,0,No Location,10,RT @MikeSchiemer: How To Utilize VR Marketing https://t.co/rA3XsnMZ4G / #VR #AR #VirtualReality #AugmentedReality #Digital #Marketing #Digi…
44,Sun Mar 18 23:13:14 +0000 2018,0,No Location,1,"RT @marieemussol: ASIAN VR PORN now get FREE VR HEADSET and membership to BADOINK VR just for 1$ BEST OFFER IN MARKET
https://t.co/lsq8caz3…"
45,Sun Mar 18 23:13:13 +0000 2018,0,No Location,0,A little outdoor bandpractice. https://t.co/drsw6i20e3 #vr #virtualreality
46,Sun Mar 18 23:13:07 +0000 2018,0,No Location,7,"RT @SexBabes_VR: Welcome back! See how horny @Daphne_Angel_ became, while you were gone. Enjoy every single minute of this sensual VR video…"
47,Sun Mar 18 23:13:04 +0000 2018,0,No Location,1,RT @puzaro: Flaunting my geek pride today at The Void in Glendale. #VR #StarWars https://t.co/uVW4rBXhx4
48,Sun Mar 18 23:12:54 +0000 2018,0,No Location,2,RT @yomiuri_o_bunka: #???? ????? #???? ????48??????????????? #???? ??(??)?? #???? ????? #???? ??????????????????????????????????360????????…
49,Sun Mar 18 23:12:50 +0000 2018,0,No Location,0,?VR?????????????????????????????????HTC VIVE??PlayStationVR??Oculus Rift??GearVR??????5???4980????????VR????????????v #VR?#VR????
50,Sun Mar 18 23:12:40 +0000 2018,0,No Location,2,RT @NeilKeene: Augmented Reality Marketing: Three Companies That Have Done It Best via @forbes #AR #VR https://t.co/FoXbbO40xG
51,Sun Mar 18 23:12:25 +0000 2018,0,No Location,1,"Travel through history with us to visit Circus Maximus, the ancient Roman chariot racing stadium, accurately recrea… https://t.co/yQr3Mx3KQn"
52,Sun Mar 18 23:12:25 +0000 2018,0,No Location,6,"RT @SexBabes_VR: Did you know that ""Virtual Girl Fucked"" featuring @Daphne_Angel_ has the best rating, compared to other VGF scenes? Stream…"
53,Sun Mar 18 23:12:00 +0000 2018,0,No Location,0,Boston Children’s and @klickhealth bring VR to pediatric GI patients https://t.co/R74TA4ec2u via @medcitynews… https://t.co/Fm41saMFIw
54,Sun Mar 18 23:11:51 +0000 2018,0,No Location,56,RT @netana_80: 6 Virtual Reality trends to look forward to in 2018 https://t.co/ToaP2xW22J #digital #cio #cdo #VR
55,Sun Mar 18 23:11:40 +0000 2018,0,No Location,0,#??? #?? #VR ???????????????4????????????????????????????????????????????????…??360?3...  https://t.co/X3HH0A3ksT https://t.co/CleReZEIgd
56,Sun Mar 18 23:11:39 +0000 2018,0,No Location,0,2017????VR??????????????????????????????????https://t.co/n3YU7krOJK?#VR #????
57,Sun Mar 18 23:11:36 +0000 2018,0,No Location,1,RT @SkarredGhost: #VirtualReality #VR: This VR Game Wants To Get Stroke Patients Playing Using Pico Neo  https://t.co/lqYn279NvU via @Uploa…
58,Sun Mar 18 23:11:28 +0000 2018,1,No Location,1,"Forget #BIM. DEVELOP3D Live (Warwick, March 20) is a free conference and exhibition that offers the perfect opportu… https://t.co/cpLSD9jyCv"
59,Sun Mar 18 23:11:26 +0000 2018,0,No Location,9,"RT @gingerkeeed: putting the final touches on my #VR thesis! If you’re at #GDC and want to see what I've been working on for the past year,…"
60,Sun Mar 18 23:10:52 +0000 2018,0,No Location,153,RT @antgrasso: What is the Digital Future to Youth? The most exciting #technologies expected to have the largest impact on their future wil…
61,Sun Mar 18 23:10:49 +0000 2018,0,No Location,1,"RT @bestdealhotdeal: US Tech Trends {#Infographic}

#CyberSecurity #MachineLearning #AI #DevOps #Analytics #CIO #IoT #BigData #VR #ML #bloc…"
62,Sun Mar 18 23:10:49 +0000 2018,0,No Location,5,"RT @paolopescatore: Another first, live broadcasting of inaugural #MotoGP #QatarGP race in 360 degrees within enhanced player of BT Sport a…"
63,Sun Mar 18 23:10:42 +0000 2018,0,No Location,0,Boston Children’s and @klickhealth bring VR to pediatric GI patients https://t.co/tPSwXtT6Zx via @medcitynews… https://t.co/bkaUCd1tsl
64,Sun Mar 18 23:10:15 +0000 2018,1,No Location,0,#altairvr #vr #ico https://t.co/34MZhw66pL
65,Sun Mar 18 23:10:13 +0000 2018,0,No Location,1,"RT @mighty999: VR???????????
?VR????????????
????????????????????????????????????????????????? #VR #VRSAward https://t.co/MXDhT1TvPu"
66,Sun Mar 18 23:10:05 +0000 2018,1,No Location,0,#altairvr #vr #ico https://t.co/CFjjwgxziA
67,Sun Mar 18 23:10:00 +0000 2018,0,No Location,1,"RT @marieemussol: ASIAN VR PORN now get FREE VR HEADSET and membership to BADOINK VR just for 1$
https://t.co/GFvUYu0uoa

#asian #asiangirl…"
68,Sun Mar 18 23:09:54 +0000 2018,0,No Location,1,RT @lampix_co: Vote for us on Product Hunt! https://t.co/MZTehA4h94 #AR #VR #HTML #ProductHunt #Kickstarter
69,Sun Mar 18 23:09:52 +0000 2018,0,No Location,0,"??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
 #SAO #VR"
70,Sun Mar 18 23:09:50 +0000 2018,0,No Location,0,"???????????08/25??VR????????? ????? ?????https://t.co/UH2fiIKR4j @ayanokatou @Rumi0503 #???? #VR #3D
https://t.co/6yhz73W56I"
71,Sun Mar 18 23:09:47 +0000 2018,0,No Location,4,RT @lampix_co: Lampix: Free the screen. Enter the dream. Get it now on Kickstarter https://t.co/ibTzB2Hn3l #AR #VR #webdev #webdesign #HTML…
72,Sun Mar 18 23:09:36 +0000 2018,0,No Location,1,"RT @marieemussol: new feel ASIAN VR PORN now get FREE VR HEADSET and membership just for 1$  today
https://t.co/eFk489yasY

#asian #asiangi…"
73,Sun Mar 18 23:09:30 +0000 2018,0,No Location,2,RT @yomiuri_o_bunka: #???? ????? #???? ????48??????????????? #???? ??(??)?? #???? ????? #???? ??????????????????????????????????360????????…
74,Sun Mar 18 23:09:27 +0000 2018,0,No Location,0,#????? #VR ?????AV?????????????????????????????????????????????????????????…?????????...  https://t.co/nmkOesOVek https://t.co/qbnSQfjxQd
75,Sun Mar 18 23:09:23 +0000 2018,0,No Location,13,"RT @marukun: ?????? #MZVR ?????????????????????????Common Source Code Project????????????????????????????????????????
?????????????????????…"
76,Sun Mar 18 23:09:22 +0000 2018,0,No Location,0,360°VR???????????????????????????????????????????????????????????????????????????Wi-Fi???????????????????#VR #VR???? https://t.co/xpVeFo7I2i
77,Sun Mar 18 23:09:16 +0000 2018,0,No Location,1,"RT @marieemussol: new feel ASIAN VR PORN now get FREE VR HEADSET and membership just for 1$
https://t.co/L7300LFdxH

#asian #asiangirls #as…"
78,Sun Mar 18 23:08:44 +0000 2018,0,No Location,1,"RT @marieemussol: new feel ASIAN VR PORN now get FREE VR HEADSET and membership just for 1$ now
https://t.co/z2x6mbILUc

#asian #asiangirls…"
79,Sun Mar 18 23:08:15 +0000 2018,0,No Location,1,"RT @marieemussol: new feel ASIAN VR PORN now get FREE VR HEADSET and membership just for 1$ now
https://t.co/z2x6mbILUc

#asian #asiangirls…"
80,Sun Mar 18 23:08:08 +0000 2018,0,No Location,46,RT @CrowdConscious: Exciting news! @decentraland $LAND marketplace launches next week! Learn about #VRSDistrict &amp; vision within Decentralan…
81,Sun Mar 18 23:07:13 +0000 2018,0,No Location,2,"RT @ausretrogamer: #retrogaming shoot’em up action via 90s VR coming right up ;-) 
#vr #PCEngine #shmup https://t.co/5RLhIQhvAK"
82,Sun Mar 18 23:07:05 +0000 2018,0,No Location,1,RT @EdTech_K12: #K12 schools can get their #networks prepared for #VR &amp; #AR with just a few steps. https://t.co/G0v4korbcR
83,Sun Mar 18 23:07:00 +0000 2018,0,No Location,0,"#VirtualReality #VR: interesting...

Tobii Develops Eye-Tracking Standalone VR Headset With Qualcomm  https://t.co/VX4fRu8XGo via @UploadVR"
84,Sun Mar 18 23:06:18 +0000 2018,0,No Location,153,RT @antgrasso: What is the Digital Future to Youth? The most exciting #technologies expected to have the largest impact on their future wil…
85,Sun Mar 18 23:06:11 +0000 2018,0,No Location,0,#ico #vr #altairvr https://t.co/Yn7mafLvUu
86,Sun Mar 18 23:05:49 +0000 2018,0,No Location,1,"RT @marieemussol: new feel ASIAN VR PORN now get FREE VR HEADSET and membership  20+ VRporn studios just for 1$ 
https://t.co/ali5C0Lmj7

#…"
87,Sun Mar 18 23:05:18 +0000 2018,0,No Location,0,"#VirtualReality takes terminal cancer patients to dream places
#VR #VRmed #Cancer  https://t.co/C9IBRq2dOa"
88,Sun Mar 18 23:05:09 +0000 2018,0,No Location,2,#???? ????? #???? ????48??????????????? #???? ??(??)?? #???? ????? #???? ??????????????????????????????????360?????… https://t.co/utJqxSC5VA
89,Sun Mar 18 23:05:00 +0000 2018,0,No Location,0,#ico #vr #altairvr https://t.co/rNfDoh9Qr9
90,Sun Mar 18 23:04:53 +0000 2018,0,No Location,0,#ico #vr #altairvr https://t.co/CDu8CNDXdE
91,Sun Mar 18 23:04:20 +0000 2018,0,No Location,0,"VR????????????3????????????????????????????????????????
???????????? (????)- MWC16 ?????
https://t.co/vjkNvCc3YZ… https://t.co/cbl5DEOMc6"
92,Sun Mar 18 23:04:00 +0000 2018,0,No Location,0,"#GDC18 is just around the corner and the #VR and #AR enthusiasts are preparing their expectations!

What are yours?… https://t.co/WfqYVIw9rn"
93,Sun Mar 18 23:03:58 +0000 2018,0,No Location,0,"RT @marieemussol: ASIAN VR PORN now get FREE VR HEADSET and membership to 20+ porn studios just for 1$ BEST OFFER IN MARKET
https://t.co/Mf…"
94,Sun Mar 18 23:03:56 +0000 2018,0,No Location,0,"The Future of #VR in games will be a mash-up of real and unreal
#VirtualReality #VRgaming #gaminglife
 https://t.co/gatbpsCgPw"
95,Sun Mar 18 23:03:54 +0000 2018,0,No Location,20,"RT @midwam: ???????? ?? #????_???????? ????? ???? #SaudiCulturalDays ?? ???? ??? ???????!
In collaboration with @GCA_Saudi, we took #SaudiC…"
96,Sun Mar 18 23:03:54 +0000 2018,0,No Location,153,RT @antgrasso: What is the Digital Future to Youth? The most exciting #technologies expected to have the largest impact on their future wil…
97,Sun Mar 18 23:03:09 +0000 2018,0,No Location,46,RT @CrowdConscious: Exciting news! @decentraland $LAND marketplace launches next week! Learn about #VRSDistrict &amp; vision within Decentralan…
98,Sun Mar 18 23:02:55 +0000 2018,0,No Location,0,MT #K12 schools can get their #networks prepared for #VR &amp; #AR with just a few steps. https://t.co/Q7o7lf4ZTx… https://t.co/QYS0EcZxkU
99,Sun Mar 18 23:02:41 +0000 2018,0,No Location,0,"Part 2 of my #LetsPlay #residentevil7 #PS4 #VR 

https://t.co/dRf6HXtEeg"
